URL,Name,Headline,LinkedIn_URL
https://www.linkedin.com/in/karthikreddyb/,Karthik B. Reddy,Managing Partner at Blume Venture Advisors,linkedin.com/in/karthikreddyb
https://www.linkedin.com/in/sanjaynath/,Sanjay Nath,Co-founder and Partner at Blume Ventures,linkedin.com/in/sanjaynath
https://www.linkedin.com/in/prashanthprakash/,"Prashanth Prakash, CFA",Chief Commercial Officer at Aggreko Energy Transition Solutions,linkedin.com/in/prashanthprakash
https://www.linkedin.com/in/subratamitra/,Subrata Mitra,Partner at Accel,linkedin.com/in/subratamitra
https://www.linkedin.com/in/rahulgarg1/,Rahul Garg,"Chief architect EICT Academy, IIT Kanpur and director Prutor.ai",linkedin.com/in/rahulgarg1
https://www.linkedin.com/in/pearl-agarwal/,Pearl Agarwal,Founder @Eximius Ventures | Dedicated Pre-Seed Fund,linkedin.com/in/pearl-agarwal
